City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Santa Cruz,BO,73.89,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
130,Nueva Guinea,NI,72.09,broken clouds,11.6876,-84.4562,Posadita La Reyna
131,Busselton,AU,63.68,overcast clouds,-33.65,115.3333,Observatory Guest House
133,Geraldton,AU,73.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
135,Hervey Bay,AU,77.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
137,Santa Maria,BR,62.44,moderate rain,-29.6842,-53.8069,Hotel Morotin
139,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
142,Viedma,AR,65.77,clear sky,-40.8135,-62.9967,Hotel Cristal
144,Gorontalo,ID,87.69,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
145,Kijang,KR,64.11,clear sky,35.2442,129.2139,Samyang Beach Villa
146,Bubaque,GW,80.49,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
147,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
148,Bagado,CO,73.0,light rain,5.4116,-76.4152,Hotel San Jose
149,Shingu,JP,68.23,clear sky,33.7333,135.9833,Shingu UI Hotel
150,Port Elizabeth,ZA,69.1,few clouds,-33.918,25.5701,39 On Nile Guest House
151,Nsunga,TZ,62.4,overcast clouds,-1.1439,31.3947,
152,Mushabani,IN,79.47,clear sky,22.5167,86.45,"ZEE NEWS REPOTER,HOME"
153,Veraval,IN,82.67,scattered clouds,20.9,70.3667,Lords Inn Somnath
154,San Quintin,MX,72.57,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
155,Leme,BR,65.71,clear sky,-22.1856,-47.3903,Pousada Piaza
158,Namibe,AO,62.53,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
159,Hobyo,SO,78.75,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
161,Kalemie,CD,71.19,light rain,-5.9475,29.1947,Mahobilali
162,Quartz Hill,US,73.69,clear sky,34.6453,-118.2181,Boulders 1 Mobile Home Park
166,Carutapera,BR,79.02,overcast clouds,-1.195,-46.02,Lidera
168,Vanimo,PG,85.24,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
169,Tual,ID,83.48,broken clouds,-5.6667,132.75,Grand Vilia Hotel
170,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
171,Taltal,CL,60.13,clear sky,-25.4,-70.4833,Residencial Karime
172,Supe,PE,60.46,broken clouds,-10.8,-77.7333,Hotel Mavars
174,Shimoda,JP,64.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
175,Tautira,PF,77.4,clear sky,-17.7333,-149.15,Pension Oaoa
177,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
181,Fukue,JP,70.16,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
182,Mpika,ZM,61.59,scattered clouds,-11.8343,31.4529,Melodies Lodge
184,Nicoya,CR,75.02,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
186,Kerema,PG,83.64,overcast clouds,-7.9631,145.7785,Frena Lodge
187,Coahuayana,MX,77.83,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
188,Tessalit,ML,76.39,broken clouds,20.1986,1.0114,
189,Camocim,BR,78.08,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
190,Jagatsinghapur,IN,84.56,clear sky,20.2667,86.1667,Arun Beura & Bros..
192,Sambava,MG,71.6,broken clouds,-14.2667,50.1667,Melrose
194,Maxixe,MZ,73.22,scattered clouds,-23.8597,35.3472,Oceano
195,Shishou,CN,74.55,overcast clouds,29.7226,112.419,Chuyuan Hotel
198,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
199,Jacareacanga,BR,71.73,few clouds,-6.2222,-57.7528,Casa do Ian😎
200,Sao Joao Da Barra,BR,71.98,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
202,Faanui,PF,78.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
203,Boende,CD,68.43,light rain,-0.2167,20.8667,
205,Tura,IN,81.1,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
206,Saint George,US,70.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
209,Codrington,AU,65.79,clear sky,-38.2667,141.9667,
210,Hualmay,PE,60.96,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
213,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
214,Ngunguru,NZ,63.7,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
215,Mattru,SL,72.27,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
216,Poros,GR,65.37,clear sky,37.4994,23.4536,New Aegli Resort Hotel
218,Flinders,AU,69.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
219,Waddan,LY,63.59,few clouds,29.1614,16.139,محل الشريف محمد العايب
221,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Alize Plage
223,Los Llanos De Aridane,ES,62.35,clear sky,28.6585,-17.9182,Valle Aridane
225,Suez,EG,66.51,clear sky,29.9737,32.5263,Green House
226,Kavieng,PG,85.68,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
229,Dhidhdhoo,MV,81.0,broken clouds,6.8833,73.1,Dhidhoo beach
230,Alappuzha,IN,82.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
232,Half Moon Bay,US,76.48,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
234,Huilong,CN,66.78,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
235,Patnanungan,PH,81.77,moderate rain,14.7833,122.1833,Laura Visah Transient House
237,Anaimalai,IN,79.29,scattered clouds,10.5833,76.9333,LIMRA RESIDENCY
239,Kongolo,CD,69.85,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
241,Tomohon,ID,81.54,overcast clouds,1.3346,124.8392,Gardenia Country Inn
244,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
247,Cabo Rojo,PR,80.73,clear sky,18.0866,-67.1457,Hotel Perichi's
248,Ribeira Grande,PT,62.78,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
249,Port Alfred,ZA,68.18,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
250,Tacuarembo,UY,62.17,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
255,San Vicente,AR,62.44,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
256,Narang,PK,77.09,broken clouds,31.9132,74.5176,مسجد عمر فاروق
258,Moron,AR,66.06,broken clouds,-34.6534,-58.6198,Hotel Morón
264,Buchanan,LR,74.62,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
265,Serra Talhada,BR,70.75,broken clouds,-7.9919,-38.2983,Pousada São Luiz
266,Inyonga,TZ,71.42,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
268,Adiake,CI,74.59,moderate rain,5.2863,-3.304,HOTEL COEUR D'OR
269,Maraa,BR,74.16,overcast clouds,-1.8333,-65.3667,
270,Gat,IL,69.4,scattered clouds,31.61,34.7642,OlusHome
271,Cabo San Lucas,MX,79.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
272,Soe,ID,85.96,broken clouds,-9.8607,124.284,Dena Hotel
275,Tabou,CI,74.46,moderate rain,4.423,-7.3528,hotêl doufoulougou
276,Aswan,EG,74.86,clear sky,24.0934,32.907,Nuba Nile
278,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
